Rank,asn_v4,AS_Name,CC,Users,country_pct,Internet_pct,Samples
3807,"AS60636","ALAMI-AS","IL",28074,0.45,0.0008,3858
3808,"AS262481","NEOREDE TELECOMUNICAO EIRELI - EPP","BR",28067,0.02,0.0008,2711
3809,"AS262668","Mar Provedor de Internet Ltda","BR",28067,0.02,0.0008,2711
3810,"AS30838","TELPOL","PL",28059,0.10,0.0008,5158
3811,"AS327804","TRUSC","ZA",28054,0.09,0.0008,667
3812,"AS134116","THENETHEADS-AS-AP Md. Manzurul Haque Khan TA THE NET HEADS","BD",28053,0.13,0.0008,4095
3813,"AS132160","OCEANIC-BROADBAND-AS-AP Oceanic Broadband Solutions Pty. Ltd.","PG",28052,2.80,0.0008,422
3814,"AS52824","M.J. VENTURA LTDA","BR",28036,0.02,0.0008,2708
3815,"AS9085","SUPERMEDIA-AS","PL",28032,0.10,0.0008,5153
3816,"AS8362","111, Rue de Croix","FR",28029,0.05,0.0008,3907
3817,"AS133680","SOFTECHINFOSOL-AS SOFTECH INFOSOL PVT. LTD.","IN",28019,0.01,0.0008,3923
3818,"AS52941","SPACE NETWORK INFORMTICA LTDA","BR",27984,0.02,0.0008,2703
3819,"AS1341","AB-AS - Allen-Bradley Company, Inc.","US",27978,0.01,0.0008,7049
3820,"AS31638","ASN-LEPIDA","IT",27964,0.07,0.0008,4482
3821,"AS263653","Costa Esmeralda Net Ltda Me","BR",27953,0.02,0.0008,2700
3822,"AS205473","IQ-SAWADLAND-AS","IQ",27946,0.53,0.0008,13156
3823,"AS43513","NANO-AS","LV",27945,1.91,0.0008,4446
3824,"AS57101","WP-SYSTEM-NET","PL",27934,0.10,0.0008,5135
3825,"AS52609","EVO Networks","BR",27922,0.02,0.0008,2697
3826,"AS8774","ETYPE","RU",27921,0.03,0.0008,3938
3827,"AS12683","STATEL-AS Stavropol branch of Rostelecom","RU",27921,0.03,0.0008,3938
3828,"AS19637","AVG19637 - Avago Technologies U.S. Inc.","US",27918,0.01,0.0008,7034
3829,"AS262777","Conchalnet Telecomunicaes LTDA - ME","BR",27912,0.02,0.0008,2696
3830,"AS134259","SKYNETBROADBAND-AS-IN Skynet","IN",27905,0.01,0.0008,3907
3831,"AS37297","OAU-Ife","NG",27902,0.03,0.0008,509
3832,"AS136557","HOST-AS-AP Host Universal Pty Ltd","AU",27885,0.13,0.0008,2206
3833,"AS23862","DILNET-AS-AP University of the Philippines Diliman","PH",27884,0.06,0.0008,3235
3834,"AS134866","GNIPL2015-AS-IN GLOBAL NETWORKS INFOCOMM PVT LTD","IN",27841,0.01,0.0008,3898
3835,"AS87","INDIANA-AS - Indiana University","US",27811,0.01,0.0008,7007
3836,"AS45178","ROSHAN-AF Main Street, House No. 13 Wazir Akbar Khan","US",27807,0.01,0.0008,7006
3837,"AS133963","QUINTILES-AS-IN Quintiles Research India Private Ltd","IN",27805,0.01,0.0008,3893
3838,"AS50060","ANNET","RU",27801,0.03,0.0008,3921
3839,"AS327820","SWECOM","CM",27796,0.61,0.0008,2140
3840,"AS48858","MILECOM-AS","RU",27779,0.03,0.0008,3918
3841,"AS58813","DTECH-BD Dtech Limited","BD",27779,0.13,0.0008,4055
3842,"AS206292","ALBINET","AL",27753,1.50,0.0008,14505
3843,"AS264420","Jobson Luis Melo de Negreiros ME","BR",27746,0.02,0.0008,2680
3844,"AS262424","InterSoft Internet e Software Ltda","BR",27746,0.02,0.0008,2680
3845,"AS41496","RO-TVSAT-AS","RO",27716,0.25,0.0008,6732
3846,"AS43314","DIANET-AS","RU",27716,0.03,0.0008,3909
3847,"AS39289","MEGAMAX-AS","RU",27709,0.03,0.0008,3908
3848,"AS48573","VIDNOE-AS","RU",27709,0.03,0.0008,3908
3849,"AS10279","WCCL-AS - West Carolina Communications, LLC","US",27704,0.01,0.0008,6980
3850,"AS30848","IT-TWT-AS","IT",27702,0.07,0.0008,4440
3851,"AS52812","WRLINK TELECOM","BR",27694,0.02,0.0008,2675
3852,"AS53271","PHENIXCITYCABLE - Phenix Cable","US",27668,0.01,0.0008,6971
3853,"AS23951","CITRA-AS-ID PT JEMBATAN CITRA NUSANTARA","ID",27667,0.05,0.0008,7777
3854,"AS19332","Marcatel Com, S.A. de C.V.","MX",27646,0.05,0.0008,5596
3855,"AS262632","Grajaunet Telecomunicacoes","BR",27643,0.02,0.0008,2670
3856,"AS42232","PARISAT","HU",27623,0.36,0.0008,6904
3857,"AS262407","RAPIDANET TELECOM LTDA","BR",27612,0.02,0.0008,2667
3858,"AS45896","MOBIFONEGLOBAL-AS-VN Mobifone Global JSC","VN",27600,0.05,0.0008,4127
3859,"AS43574","DAGSV-AS","RU",27595,0.03,0.0008,3892
3860,"AS24105","UNWIRED-CORE-AP Unwired Group, Fixed Wireless Broadband Access, Sydney","AU",27594,0.13,0.0008,2183
3861,"AS23788","HICT Jupiter Telecommunications Co., Ltd.","JP",27590,0.02,0.0008,1670
3862,"AS36790","BERWICK - MetroCast Communications","US",27581,0.01,0.0008,6949
3863,"AS262599","OSTARA TELECOMUNICAES LTDA","BR",27580,0.02,0.0008,2664
3864,"AS16592","ICOMSA S.A. de C.V.","SV",27578,1.12,0.0008,4421
3865,"AS17857","NAKDONGDIGITALBUSANNET-AS-","KR",27575,0.06,0.0008,2927
3866,"AS52736","Viattiva Telecomunicaes Ltda - ME","BR",27570,0.02,0.0008,2663
3867,"AS264294","Itech Telecom","BR",27539,0.02,0.0008,2660
3868,"AS55958","INTEL-CHINA Intel China Ltd","CN",27539,0.00,0.0008,925
3869,"AS133331","INFOBASELIMITED-AS-AP Infobase Limited","BD",27519,0.12,0.0008,4017
3870,"AS18779","EGIHOSTING - EGIHosting","CN",27479,0.00,0.0008,923
3871,"AS266247","LOKS Servios em TI e Comunicao LTDA","BR",27477,0.02,0.0008,2654
3872,"AS28142","DIPELNET CASCAVEL","BR",27477,0.02,0.0008,2654
3873,"AS44206","ATLLANSAS","RU",27475,0.03,0.0008,3875
3874,"AS13333","CCI-PA-AS-1 - Consolidated Communications, Inc.","US",27474,0.01,0.0008,6922
3875,"AS263671","MINAS INFO LTDA-ME","BR",27467,0.02,0.0008,2653
3876,"AS52937","FHP TELECOMUNICACAO E COM VAREJISTA DE PRODUTOS DE","BR",27456,0.02,0.0008,2652
3877,"AS38103","QRIXNETKS-AS-","KR",27443,0.06,0.0008,2913
3878,"AS134312","DIGIWIN-AS Digi Win Infotainment Mumbai Pvt Ltd","IN",27427,0.01,0.0008,3840
3879,"AS262590","NET ON LINE LTDA ME","BR",27425,0.02,0.0008,2649
